Тип;Наименование;Форма;Диаметр, мм;Длина, мм;Ширина, мм;Высота, мм;Длина, м;Толщина изоляции, мм;Материал изоляции;Код материала изоляции;Режим температуры изоляции;T° среды;T° продукта
труба;Труба DN57 №41;;57;;;;192.6;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;5;80
резервуар;Прям. бак №7;Параллелепипед;;6000;4000;4000;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;80
труба;Труба DN325 №30;;325;;;;64.9;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;40
труба;Труба DN34 №50;;34;;;;9.6;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;50
резервуар;Шар. бак №28;Шар;2500;;;;;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;80
резервуар;Прям. бак №39;Параллелепипед;;4000;3000;3000;;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;100
резервуар;Прям. бак №6;Параллелепипед;;3000;4000;3000;;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;40
труба;Труба DN34 №27;;34;;;;489.1;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-25;110
труба;Труба DN42 №1;;42;;;;17.4;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;60
резервуар;Прям. бак №17;Параллелепипед;;5000;4000;3000;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;0;80
труба;Труба DN273 №42;;273;;;;349.8;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;5;60
резервуар;Прям. бак №19;Параллелепипед;;2000;2000;4000;;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;80
труба;Труба DN325 №5;;325;;;;296.7;30;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;0;90
труба;Труба DN76 №24;;76;;;;80.7;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;40
труба;Труба DN76 №43;;76;;;;151.9;30;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;40
резервуар;Шар. бак №21;Шар;1500;;;;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;100
труба;Труба DN273 №35;;273;;;;180.4;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;50
труба;Труба DN108 №23;;108;;;;486.1;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;80
резервуар;Цил. бак №29;Цилиндр;2000;;;4000;;120;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;80
труба;Труба DN325 №58;;325;;;;278.1;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;50
труба;Труба DN76 №37;;76;;;;270.5;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-25;80
резервуар;Шар. бак №9;Шар;2000;;;;;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;100
труба;Труба DN325 №8;;325;;;;270.4;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;80
труба;Труба DN159 №52;;159;;;;146.1;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-15;120
резервуар;Прям. бак №4;Параллелепипед;;4000;2000;4000;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;60
труба;Труба DN133 №44;;133;;;;33.3;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;120
труба;Труба DN108 №55;;108;;;;144.5;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;70
труба;Труба DN27 №39;;27;;;;327.8;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;70
резервуар;Шар. бак №22;Шар;1500;;;;;120;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;100
резервуар;Шар. бак №31;Шар;2500;;;;;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;40
труба;Труба DN114 №10;;114;;;;492.7;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;0;80
резервуар;Шар. бак №30;Шар;2500;;;;;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;60
труба;Труба DN76 №51;;76;;;;255.4;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;70
труба;Труба DN219 №49;;219;;;;69.8;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;5;90
резервуар;Прям. бак №14;Параллелепипед;;4000;2000;2000;;120;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;100
резервуар;Прям. бак №32;Параллелепипед;;2000;2000;3000;;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;100
труба;Труба DN133 №14;;133;;;;422.2;30;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;90
труба;Труба DN57 №40;;57;;;;206.2;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;0;40
труба;Труба DN21 №21;;21;;;;341.7;30;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;80
резервуар;Цил. бак №23;Цилиндр;2500;;;3000;;120;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;40
труба;Труба DN133 №22;;133;;;;60.2;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;5;40
труба;Труба DN108 №48;;108;;;;106.1;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;80
труба;Труба DN108 №33;;108;;;;336.1;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-25;110
труба;Труба DN159 №60;;159;;;;293.3;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-25;40
труба;Труба DN57 №28;;57;;;;136.2;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;120
резервуар;Прям. бак №13;Параллелепипед;;2000;3000;4000;;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;80
труба;Труба DN219 №15;;219;;;;137.5;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;70
резервуар;Прям. бак №1;Параллелепипед;;3000;1500;3000;;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;60
труба;Труба DN48 №17;;48;;;;127.1;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-15;100
труба;Труба DN89 №31;;89;;;;296.3;30;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;70
труба;Труба DN34 №20;;34;;;;195.5;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;80
резервуар;Прям. бак №20;Параллелепипед;;2000;2000;3000;;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;40
труба;Труба DN21 №3;;21;;;;51.4;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;120
труба;Труба DN27 №26;;27;;;;124.2;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;110
труба;Труба DN34 №32;;34;;;;453.2;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;70
труба;Труба DN76 №4;;76;;;;359.4;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;0;70
труба;Труба DN108 №6;;108;;;;82.0;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;100
резервуар;Прям. бак №36;Параллелепипед;;3000;4000;2000;;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;100
труба;Труба DN159 №9;;159;;;;290.8;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;70
резервуар;Цил. бак №24;Цилиндр;1000;;;6000;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;0;100
труба;Труба DN76 №29;;76;;;;357.9;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;110
труба;Труба DN57 №45;;57;;;;33.2;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-25;50
труба;Труба DN42 №7;;42;;;;182.7;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-15;40
резервуар;Шар. бак №10;Шар;2500;;;;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;40
