[SECTION];metadata
key;value
schema_version;1
name;Мой проект
task_number;
description;
status;draft

[SECTION];objects
type;name;sort_order;params;results;is_valid;validation_errors
pipe;Труба DN219 №18;17;"{""name"": ""Труба DN219 №18"", ""pipe_length"": 184.2, ""outer_diameter"": 0.219, ""ambient_temperature"": 5.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 50.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 3719.161, ""effective_length"": 184.2, ""thermal_resistance"": 2.451601, ""heat_loss_per_meter"": 18.355, ""surface_temperature"": null}";true;
pipe;Труба DN27 №19;18;"{""name"": ""Труба DN27 №19"", ""pipe_length"": 431.2, ""outer_diameter"": 0.027, ""ambient_temperature"": -25.0, ""insulation_material"": ""calcium_silicate"", ""process_temperature"": 100.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 16342.022, ""effective_length"": 431.2, ""thermal_resistance"": 3.62807, ""heat_loss_per_meter"": 34.454, ""surface_temperature"": null}";true;
pipe;Труба DN34 №20;19;"{""name"": ""Труба DN34 №20"", ""pipe_length"": 195.5, ""outer_diameter"": 0.034, ""ambient_temperature"": 10.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 2024.588, ""effective_length"": 195.5, ""thermal_resistance"": 7.43534, ""heat_loss_per_meter"": 9.414, ""surface_temperature"": null}";true;
pipe;Труба DN21 №21;20;"{""name"": ""Труба DN21 №21"", ""pipe_length"": 341.7, ""outer_diameter"": 0.021, ""ambient_temperature"": 10.0, ""insulation_material"": ""calcium_silicate"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.03}";"{""total_heat_loss"": 7220.101, ""effective_length"": 341.7, ""thermal_resistance"": 3.644118, ""heat_loss_per_meter"": 19.209, ""surface_temperature"": null}";true;
pipe;Труба DN133 №22;21;"{""name"": ""Труба DN133 №22"", ""pipe_length"": 60.2, ""outer_diameter"": 0.133, ""ambient_temperature"": 5.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 1237.429, ""effective_length"": 60.2, ""thermal_resistance"": 1.872996, ""heat_loss_per_meter"": 18.687, ""surface_temperature"": null}";true;
pipe;Труба DN108 №23;22;"{""name"": ""Труба DN108 №23"", ""pipe_length"": 486.1, ""outer_diameter"": 0.108, ""ambient_temperature"": -30.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 13530.814, ""effective_length"": 486.1, ""thermal_resistance"": 4.346974, ""heat_loss_per_meter"": 25.305, ""surface_temperature"": null}";true;
pipe;Труба DN76 №24;23;"{""name"": ""Труба DN76 №24"", ""pipe_length"": 80.7, ""outer_diameter"": 0.076, ""ambient_temperature"": 10.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 473.356, ""effective_length"": 80.7, ""thermal_resistance"": 5.625992, ""heat_loss_per_meter"": 5.332, ""surface_temperature"": null}";true;
pipe;Труба DN133 №25;24;"{""name"": ""Труба DN133 №25"", ""pipe_length"": 246.9, ""outer_diameter"": 0.133, ""ambient_temperature"": -15.0, ""insulation_material"": ""polyurethane"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.03}";"{""total_heat_loss"": 10220.979, ""effective_length"": 246.9, ""thermal_resistance"": 2.258605, ""heat_loss_per_meter"": 37.634, ""surface_temperature"": null}";true;
pipe;Труба DN27 №26;25;"{""name"": ""Труба DN27 №26"", ""pipe_length"": 124.2, ""outer_diameter"": 0.027, ""ambient_temperature"": -30.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 110.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 2735.775, ""effective_length"": 124.2, ""thermal_resistance"": 6.991364, ""heat_loss_per_meter"": 20.025, ""surface_temperature"": null}";true;
pipe;Труба DN34 №27;26;"{""name"": ""Труба DN34 №27"", ""pipe_length"": 489.1, ""outer_diameter"": 0.034, ""ambient_temperature"": -25.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 110.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 14761.858, ""effective_length"": 489.1, ""thermal_resistance"": 4.920204, ""heat_loss_per_meter"": 27.438, ""surface_temperature"": null}";true;
pipe;Труба DN57 №28;27;"{""name"": ""Труба DN57 №28"", ""pipe_length"": 136.2, ""outer_diameter"": 0.057, ""ambient_temperature"": -20.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 120.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 3663.368, ""effective_length"": 136.2, ""thermal_resistance"": 5.72555, ""heat_loss_per_meter"": 24.452, ""surface_temperature"": null}";true;
pipe;Труба DN76 №29;28;"{""name"": ""Труба DN76 №29"", ""pipe_length"": 357.9, ""outer_diameter"": 0.076, ""ambient_temperature"": -10.0, ""insulation_material"": ""calcium_silicate"", ""process_temperature"": 110.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 19206.722, ""effective_length"": 357.9, ""thermal_resistance"": 2.459701, ""heat_loss_per_meter"": 48.786, ""surface_temperature"": null}";true;
pipe;Труба DN325 №30;29;"{""name"": ""Труба DN325 №30"", ""pipe_length"": 64.9, ""outer_diameter"": 0.325, ""ambient_temperature"": -10.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 4218.948, ""effective_length"": 64.9, ""thermal_resistance"": 0.846064, ""heat_loss_per_meter"": 59.097, ""surface_temperature"": null}";true;
pipe;Труба DN89 №31;30;"{""name"": ""Труба DN89 №31"", ""pipe_length"": 296.3, ""outer_diameter"": 0.089, ""ambient_temperature"": -40.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.03}";"{""total_heat_loss"": 17866.293, ""effective_length"": 296.3, ""thermal_resistance"": 2.006701, ""heat_loss_per_meter"": 54.816, ""surface_temperature"": null}";true;
pipe;Труба DN34 №32;31;"{""name"": ""Труба DN34 №32"", ""pipe_length"": 453.2, ""outer_diameter"": 0.034, ""ambient_temperature"": 10.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.05}";"{""total_heat_loss"": 5916.688, ""effective_length"": 453.2, ""thermal_resistance"": 5.055396, ""heat_loss_per_meter"": 11.869, ""surface_temperature"": null}";true;
pipe;Труба DN108 №33;32;"{""name"": ""Труба DN108 №33"", ""pipe_length"": 336.1, ""outer_diameter"": 0.108, ""ambient_temperature"": -25.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 110.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 11481.745, ""effective_length"": 336.1, ""thermal_resistance"": 4.346974, ""heat_loss_per_meter"": 31.056, ""surface_temperature"": null}";true;
pipe;Труба DN89 №34;33;"{""name"": ""Труба DN89 №34"", ""pipe_length"": 393.4, ""outer_diameter"": 0.089, ""ambient_temperature"": -30.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 50.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 13993.862, ""effective_length"": 393.4, ""thermal_resistance"": 2.473885, ""heat_loss_per_meter"": 32.338, ""surface_temperature"": null}";true;
pipe;Труба DN273 №35;34;"{""name"": ""Труба DN273 №35"", ""pipe_length"": 180.4, ""outer_diameter"": 0.273, ""ambient_temperature"": -40.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 50.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 11191.804, ""effective_length"": 180.4, ""thermal_resistance"": 1.595775, ""heat_loss_per_meter"": 56.399, ""surface_temperature"": null}";true;
pipe;Труба DN27 №36;35;"{""name"": ""Труба DN27 №36"", ""pipe_length"": 204.3, ""outer_diameter"": 0.027, ""ambient_temperature"": -20.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.05}";"{""total_heat_loss"": 3553.208, ""effective_length"": 204.3, ""thermal_resistance"": 5.692236, ""heat_loss_per_meter"": 15.811, ""surface_temperature"": null}";true;
pipe;Труба DN76 №37;36;"{""name"": ""Труба DN76 №37"", ""pipe_length"": 270.5, ""outer_diameter"": 0.076, ""ambient_temperature"": -25.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 9800.745, ""effective_length"": 270.5, ""thermal_resistance"": 3.187794, ""heat_loss_per_meter"": 32.938, ""surface_temperature"": null}";true;
pipe;Труба DN325 №38;37;"{""name"": ""Труба DN325 №38"", ""pipe_length"": 128.7, ""outer_diameter"": 0.325, ""ambient_temperature"": 10.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 50.0, ""insulation_thickness"": 0.03}";"{""total_heat_loss"": 7252.134, ""effective_length"": 128.7, ""thermal_resistance"": 0.780846, ""heat_loss_per_meter"": 51.226, ""surface_temperature"": null}";true;
pipe;Труба DN27 №39;38;"{""name"": ""Труба DN27 №39"", ""pipe_length"": 327.8, ""outer_diameter"": 0.027, ""ambient_temperature"": -30.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 5157.505, ""effective_length"": 327.8, ""thermal_resistance"": 6.991364, ""heat_loss_per_meter"": 14.303, ""surface_temperature"": null}";true;
pipe;Труба DN57 №40;39;"{""name"": ""Труба DN57 №40"", ""pipe_length"": 206.2, ""outer_diameter"": 0.057, ""ambient_temperature"": 0.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 2779.392, ""effective_length"": 206.2, ""thermal_resistance"": 3.264311, ""heat_loss_per_meter"": 12.254, ""surface_temperature"": null}";true;
pipe;Труба DN57 №41;40;"{""name"": ""Труба DN57 №41"", ""pipe_length"": 192.6, ""outer_diameter"": 0.057, ""ambient_temperature"": 5.0, ""insulation_material"": ""polyurethane"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 2409.076, ""effective_length"": 192.6, ""thermal_resistance"": 6.595682, ""heat_loss_per_meter"": 11.371, ""surface_temperature"": null}";true;
pipe;Труба DN273 №42;41;"{""name"": ""Труба DN273 №42"", ""pipe_length"": 349.8, ""outer_diameter"": 0.273, ""ambient_temperature"": 5.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.1}";"{""total_heat_loss"": 5010.744, ""effective_length"": 349.8, ""thermal_resistance"": 4.223505, ""heat_loss_per_meter"": 13.022, ""surface_temperature"": null}";true;
pipe;Труба DN76 №43;42;"{""name"": ""Труба DN76 №43"", ""pipe_length"": 151.9, ""outer_diameter"": 0.076, ""ambient_temperature"": 10.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.03}";"{""total_heat_loss"": 1086.873, ""effective_length"": 151.9, ""thermal_resistance"": 4.612039, ""heat_loss_per_meter"": 6.505, ""surface_temperature"": null}";true;
pipe;Труба DN133 №44;43;"{""name"": ""Труба DN133 №44"", ""pipe_length"": 33.3, ""outer_diameter"": 0.133, ""ambient_temperature"": 10.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 120.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 1184.509, ""effective_length"": 33.3, ""thermal_resistance"": 3.401662, ""heat_loss_per_meter"": 32.337, ""surface_temperature"": null}";true;
pipe;Труба DN57 №45;44;"{""name"": ""Труба DN57 №45"", ""pipe_length"": 33.2, ""outer_diameter"": 0.057, ""ambient_temperature"": -25.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 50.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 564.209, ""effective_length"": 33.2, ""thermal_resistance"": 4.85458, ""heat_loss_per_meter"": 15.449, ""surface_temperature"": null}";true;
pipe;Труба DN34 №46;45;"{""name"": ""Труба DN34 №46"", ""pipe_length"": 339.2, ""outer_diameter"": 0.034, ""ambient_temperature"": -30.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 7029.581, ""effective_length"": 339.2, ""thermal_resistance"": 5.307856, ""heat_loss_per_meter"": 18.84, ""surface_temperature"": null}";true;
pipe;Труба DN27 №47;46;"{""name"": ""Труба DN27 №47"", ""pipe_length"": 311.6, ""outer_diameter"": 0.027, ""ambient_temperature"": 10.0, ""insulation_material"": ""calcium_silicate"", ""process_temperature"": 90.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 6324.056, ""effective_length"": 311.6, ""thermal_resistance"": 4.335951, ""heat_loss_per_meter"": 18.45, ""surface_temperature"": null}";true;
pipe;Труба DN108 №48;47;"{""name"": ""Труба DN108 №48"", ""pipe_length"": 106.1, ""outer_diameter"": 0.108, ""ambient_temperature"": -20.0, ""insulation_material"": ""polyurethane"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.1}";"{""total_heat_loss"": 1930.413, ""effective_length"": 106.1, ""thermal_resistance"": 6.045856, ""heat_loss_per_meter"": 16.54, ""surface_temperature"": null}";true;
pipe;Труба DN219 №49;48;"{""name"": ""Труба DN219 №49"", ""pipe_length"": 69.8, ""outer_diameter"": 0.219, ""ambient_temperature"": 5.0, ""insulation_material"": ""polyurethane"", ""process_temperature"": 90.0, ""insulation_thickness"": 0.1}";"{""total_heat_loss"": 1738.801, ""effective_length"": 69.8, ""thermal_resistance"": 3.753333, ""heat_loss_per_meter"": 22.647, ""surface_temperature"": null}";true;
pipe;Труба DN34 №50;49;"{""name"": ""Труба DN34 №50"", ""pipe_length"": 9.6, ""outer_diameter"": 0.034, ""ambient_temperature"": -30.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 50.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 63.329, ""effective_length"": 9.6, ""thermal_resistance"": 13.33992, ""heat_loss_per_meter"": 5.997, ""surface_temperature"": null}";true;
pipe;Труба DN76 №51;50;"{""name"": ""Труба DN76 №51"", ""pipe_length"": 255.4, ""outer_diameter"": 0.076, ""ambient_temperature"": -30.0, ""insulation_material"": ""polyurethane"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 6589.469, ""effective_length"": 255.4, ""thermal_resistance"": 4.26347, ""heat_loss_per_meter"": 23.455, ""surface_temperature"": null}";true;
pipe;Труба DN159 №52;51;"{""name"": ""Труба DN159 №52"", ""pipe_length"": 146.1, ""outer_diameter"": 0.159, ""ambient_temperature"": -15.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 120.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 4976.143, ""effective_length"": 146.1, ""thermal_resistance"": 4.359974, ""heat_loss_per_meter"": 30.963, ""surface_temperature"": null}";true;
pipe;Труба DN21 №53;52;"{""name"": ""Труба DN21 №53"", ""pipe_length"": 335.6, ""outer_diameter"": 0.021, ""ambient_temperature"": -30.0, ""insulation_material"": ""polyurethane"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 2680.463, ""effective_length"": 335.6, ""thermal_resistance"": 12.395023, ""heat_loss_per_meter"": 7.261, ""surface_temperature"": null}";true;
pipe;Труба DN108 №54;53;"{""name"": ""Труба DN108 №54"", ""pipe_length"": 62.1, ""outer_diameter"": 0.108, ""ambient_temperature"": 10.0, ""insulation_material"": ""calcium_silicate"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.03}";"{""total_heat_loss"": 2742.976, ""effective_length"": 62.1, ""thermal_resistance"": 1.24518, ""heat_loss_per_meter"": 40.155, ""surface_temperature"": null}";true;
pipe;Труба DN108 №55;54;"{""name"": ""Труба DN108 №55"", ""pipe_length"": 144.5, ""outer_diameter"": 0.108, ""ambient_temperature"": -10.0, ""insulation_material"": ""calcium_silicate"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 8459.226, ""effective_length"": 144.5, ""thermal_resistance"": 1.503211, ""heat_loss_per_meter"": 53.219, ""surface_temperature"": null}";true;
pipe;Труба DN108 №56;55;"{""name"": ""Труба DN108 №56"", ""pipe_length"": 255.2, ""outer_diameter"": 0.108, ""ambient_temperature"": -30.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 100.0, ""insulation_thickness"": 0.05}";"{""total_heat_loss"": 14895.632, ""effective_length"": 255.2, ""thermal_resistance"": 2.449953, ""heat_loss_per_meter"": 53.062, ""surface_temperature"": null}";true;
pipe;Труба DN108 №57;56;"{""name"": ""Труба DN108 №57"", ""pipe_length"": 26.8, ""outer_diameter"": 0.108, ""ambient_temperature"": -15.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.05}";"{""total_heat_loss"": 1145.361, ""effective_length"": 26.8, ""thermal_resistance"": 1.930395, ""heat_loss_per_meter"": 38.852, ""surface_temperature"": null}";true;
pipe;Труба DN325 №58;57;"{""name"": ""Труба DN325 №58"", ""pipe_length"": 278.1, ""outer_diameter"": 0.325, ""ambient_temperature"": -40.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 50.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 11268.338, ""effective_length"": 278.1, ""thermal_resistance"": 2.443297, ""heat_loss_per_meter"": 36.835, ""surface_temperature"": null}";true;
pipe;Труба DN34 №59;58;"{""name"": ""Труба DN34 №59"", ""pipe_length"": 472.8, ""outer_diameter"": 0.034, ""ambient_temperature"": 10.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.1}";"{""total_heat_loss"": 2883.762, ""effective_length"": 472.8, ""thermal_resistance"": 5.410433, ""heat_loss_per_meter"": 5.545, ""surface_temperature"": null}";true;
pipe;Труба DN159 №60;59;"{""name"": ""Труба DN159 №60"", ""pipe_length"": 293.3, ""outer_diameter"": 0.159, ""ambient_temperature"": -25.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 11511.18, ""effective_length"": 293.3, ""thermal_resistance"": 1.82179, ""heat_loss_per_meter"": 35.679, ""surface_temperature"": null}";true;
tank;Прям. бак №1;60;"{""name"": ""Прям. бак №1"", ""shape"": ""rectangular"", ""width"": 1.5, ""height"": 3.0, ""length"": 3.0, ""ambient_temperature"": -20.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.06}";"{""surface_area"": 36.0, ""total_heat_loss"": 2231.709, ""heat_loss_per_m2"": 56.356}";true;
tank;Шар. бак №2;61;"{""name"": ""Шар. бак №2"", ""shape"": ""spherical"", ""diameter"": 1.5, ""ambient_temperature"": 0.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.15}";"{""surface_area"": 7.069, ""total_heat_loss"": 115.661, ""heat_loss_per_m2"": 14.875}";true;
tank;Цил. бак №3;62;"{""name"": ""Цил. бак №3"", ""shape"": ""cylindrical"", ""height"": 4.0, ""diameter"": 1.5, ""ambient_temperature"": -10.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.15}";"{""surface_area"": 22.384, ""total_heat_loss"": 460.674, ""heat_loss_per_m2"": 18.71}";true;
tank;Прям. бак №4;63;"{""name"": ""Прям. бак №4"", ""shape"": ""rectangular"", ""width"": 2.0, ""height"": 4.0, ""length"": 4.0, ""ambient_temperature"": 10.0, ""insulation_material"": ""calcium_silicate"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.15}";"{""surface_area"": 64.0, ""total_heat_loss"": 1470.404, ""heat_loss_per_m2"": 20.886}";true;
tank;Цил. бак №5;64;"{""name"": ""Цил. бак №5"", ""shape"": ""cylindrical"", ""height"": 5.0, ""diameter"": 1.5, ""ambient_temperature"": -10.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.08}";"{""surface_area"": 27.096, ""total_heat_loss"": 1119.328, ""heat_loss_per_m2"": 37.554}";true;
