Тип;Наименование;Форма;Диаметр, мм;Длина, мм;Ширина, мм;Высота, мм;Длина, м;Толщина изоляции, мм;Материал изоляции;T° среды;T° продукта
труба;Труба DN76 №37;;76;;;;270.5;40;Пенополистирол;-25;80
резервуар;Шар. бак №9;Шар;2000;;;;;60;Минеральная вата;-40;100
труба;Труба DN325 №8;;325;;;;270.4;60;Минеральная вата;10;80
труба;Труба DN159 №52;;159;;;;146.1;60;Аэрогель;-15;120
резервуар;Прям. бак №4;Параллелепипед;;4000;2000;4000;;150;Силикат кальция;10;60
труба;Труба DN133 №44;;133;;;;33.3;80;Пенополистирол;10;120
труба;Труба DN108 №55;;108;;;;144.5;40;Силикат кальция;-10;70
труба;Труба DN27 №39;;27;;;;327.8;80;Минеральная вата;-30;70
резервуар;Шар. бак №22;Шар;1500;;;;;120;Пенополистирол;-10;100
резервуар;Шар. бак №31;Шар;2500;;;;;50;Силикат кальция;-30;40
труба;Труба DN114 №10;;114;;;;492.7;40;Минеральная вата;0;80
резервуар;Шар. бак №30;Шар;2500;;;;;40;Пеностекло;-30;60
труба;Труба DN76 №51;;76;;;;255.4;40;Пенополиуретан;-30;70
труба;Труба DN219 №49;;219;;;;69.8;100;Пенополиуретан;5;90
резервуар;Прям. бак №14;Параллелепипед;;4000;2000;2000;;120;Пенополистирол;-20;100
резервуар;Прям. бак №32;Параллелепипед;;2000;2000;3000;;60;Аэрогель;-10;100
труба;Труба DN133 №14;;133;;;;422.2;30;Пеностекло;-40;90
труба;Труба DN57 №40;;57;;;;206.2;60;Пеностекло;0;40
труба;Труба DN21 №21;;21;;;;341.7;30;Силикат кальция;10;80
резервуар;Цил. бак №23;Цилиндр;2500;;;3000;;120;Силикат кальция;-40;40
труба;Труба DN133 №22;;133;;;;60.2;60;Пеностекло;5;40
труба;Труба DN108 №48;;108;;;;106.1;100;Пенополиуретан;-20;80
труба;Труба DN108 №33;;108;;;;336.1;40;Аэрогель;-25;110
труба;Труба DN159 №60;;159;;;;293.3;40;Пенополистирол;-25;40
труба;Труба DN57 №28;;57;;;;136.2;80;Пенополистирол;-20;120
резервуар;Прям. бак №13;Параллелепипед;;2000;3000;4000;;40;Силикат кальция;-20;80
труба;Труба DN219 №15;;219;;;;137.5;40;Аэрогель;-10;70
резервуар;Прям. бак №1;Параллелепипед;;3000;1500;3000;;60;Минеральная вата;-20;60
труба;Труба DN48 №17;;48;;;;127.1;80;Аэрогель;-15;100
труба;Труба DN89 №31;;89;;;;296.3;30;Минеральная вата;-40;70
труба;Труба DN34 №20;;34;;;;195.5;80;Пенополистирол;10;80
резервуар;Прям. бак №20;Параллелепипед;;2000;2000;3000;;50;Пеностекло;-30;40
труба;Труба DN21 №3;;21;;;;51.4;40;Аэрогель;-40;120
труба;Труба DN27 №26;;27;;;;124.2;80;Минеральная вата;-30;110
труба;Труба DN34 №32;;34;;;;453.2;50;Минеральная вата;10;70
труба;Труба DN76 №4;;76;;;;359.4;100;Аэрогель;0;70
труба;Труба DN108 №6;;108;;;;82.0;50;Минеральная вата;-30;100
резервуар;Прям. бак №36;Параллелепипед;;3000;4000;2000;;40;Пенополистирол;-20;100
труба;Труба DN159 №9;;159;;;;290.8;100;Минеральная вата;-40;70
резервуар;Цил. бак №24;Цилиндр;1000;;;6000;;150;Силикат кальция;0;100
труба;Труба DN76 №29;;76;;;;357.9;60;Силикат кальция;-10;110
труба;Труба DN57 №45;;57;;;;33.2;80;Минеральная вата;-25;50
труба;Труба DN42 №7;;42;;;;182.7;50;Аэрогель;-15;40
резервуар;Шар. бак №10;Шар;2500;;;;;150;Пенополиуретан;-10;40
